Rank,Movie,Year,Movie Rating,Duration,Numerical Rating,Votes
209,Ford v Ferrari,2019,PG-13,2h 32m,8.1,434000
210,Tokyo Story,1953,Not Rated,2h 16m,8.1,65000
211,Ratatouille,2007,G,1h 51m,8.1,785000
212,Rocky,1976,PG,2h,8.1,608000
213,Hotel Rwanda,2004,PG-13,2h 1m,8.1,365000
214,The Passion of Joan of Arc,1928,Passed,1h 54m,8.1,58000
215,Logan,2017,R,2h 17m,8.1,802000
216,Platoon,1986,R,2h,8.1,428000
217,Spotlight,2015,R,2h 9m,8.1,488000
218,The Terminator,1984,R,1h 47m,8.1,898000
219,Jai Bhim,2021,TV-MA,2h 44m,8.8,210000
220,Before Sunset,2004,R,1h 20m,8.1,278000
221,Rush,2013,R,2h 3m,8.1,498000
222,Network,1976,R,2h 1m,8.1,165000
223,Stand by Me,1986,R,1h 29m,8.1,425000
224,The Best Years of Our Lives,1946,Approved,2h 50m,8.1,68000
225,La haine,1995,Not Rated,1h 38m,8.1,186000
226,The Wizard of Oz,1939,G,1h 42m,8.1,416000
227,Into the Wild,2007,R,2h 28m,8.1,642000
228,The Exorcist,1973,R,2h 2m,8.1,430000
229,Pirates of the Caribbean: The Curse of the Black Pearl,2003,PG-13,2h 23m,8.1,1200000
230,The Incredibles,2004,PG,1h 55m,8.0,777000
231,To Be or Not to Be,1942,Passed,1h 39m,8.2,41000
232,Groundhog Day,1993,PG,1h 41m,8.0,661000
233,The Grapes of Wrath,1940,Passed,2h 9m,8.1,97000
234,My Father and My Son,2005,Not Rated,1h 52m,8.2,89000
235,Hachi: A Dog's Tale,2009,G,1h 33m,8.1,300000
236,The Battle of Algiers,1966,Not Rated,2h 1m,8.1,63000
237,The Handmaiden,2016,Not Rated,2h 25m,8.1,162000
238,Amores Perros,2000,R,2h 34m,8.1,248000
239,Rebecca,1940,Approved,2h 10m,8.1,143000
240,Cool Hand Luke,1967,GP,2h 7m,8.1,184000
241,The Sound of Music,1965,G,2h 52m,8.1,249000
242,Pather Panchali,1955,Not Rated,2h 5m,8.2,36000
243,It Happened One Night,1934,Passed,1h 45m,8.1,109000
244,The Iron Giant,1999,PG,1h 26m,8.1,215000
245,The 400 Blows,1959,Not Rated,1h 39m,8.1,124000
246,The Help,2011,PG-13,2h 26m,8.1,478000
247,Persona,1966,Not Rated,1h 23m,8.1,126000
248,Life of Brian,1979,R,1h 34m,8.0,414000
249,Aladdin,1992,G,1h 30m,8.0,447000
250,Dances with Wolves,1990,PG-13,3h 1m,8.0,281000
